27623,"0100000000","80","LIVE ANIMALS","ANIFEILIAID BYW"
27624,"0101000000","80","Live horses, asses, mules and hinnies","Ceffylau byw, asynnod, mulod a hinnies"
93797,"0101210000","10","Horses","Ceffylau"
93796,"0101210000","80","Pure-bred breeding animals","Anifeiliaid bridio pur"
93798,"0101290000","80","Other","Arall"
93799,"0101291000","80","For slaughter","Am ladd"
93800,"0101299000","80","Other","Arall"
93801,"0101300000","80","Asses","Asynnod"
72763,"0101900000","80","Other","Arall"
27633,"0102000000","80","Live bovine animals","Anifeiliaid buchol byw"
94053,"0102210000","10","Cattle","Gwartheg"
94047,"0102210000","80","Pure-bred breeding animals","Anifeiliaid bridio pur"
94048,"0102211000","80","Heifers (female bovines that have never calved)","Heffrod (gwartheg benywaidd nad ydyn nhw erioed wedi lloia)"
94049,"0102213000","80","Cows","Buchod"
94050,"0102219000","80","Other","Arall"
94056,"0102290000","80","Other","Arall"
96756,"0102290500","80","Of the sub-genus Bibos or of the sub-genus Poephagus","O'r is-genws Bibos neu'r is-genws Poephagus"
96757,"0102291000","10","Other","Arall"
94057,"0102291000","80","Of a weight not exceeding 80 kg","O bwysau nad yw'n fwy na 80 kg"
94058,"0102291010","80","Young male bovine animals, intended for fattening","Anifeiliaid buchol gwrywaidd ifanc, gyda'r bwriad o dewhau"
94059,"0102291020","80","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","Heffrod y bridiau mynydd llwyd, brown neu felyn a brîd Pinzgau brych, heblaw am eu lladd"
94060,"0102291030","80","Heifers of the Schwyz and Fribourg breeds, other than for slaughter","Heffrod bridiau Schwyz a Fribourg, heblaw am ladd"
94061,"0102291040","80","Heifers of the spotted Simmental breed, other than for slaughter","Heffrod y brîd Simmental brych, heblaw am eu lladd"
94062,"0102291050","80","Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","Teirw'r Schwyz, Fribourg a bridiau Simmental brych, heblaw am eu lladd"
94063,"0102291090","80","Other","Arall"
94064,"0102292100","10","Of a weight exceeding 80 kg but not exceeding 160 kg","O bwysau sy'n fwy na 80 kg ond heb fod yn fwy na 160 kg"
94065,"0102292100","80","For slaughter","Am ladd"
